pipeline,metafeature,openml_tid,ndcg,ndcg_score
libsvm_svc,SCOT,15,25,0.4
libsvm_svc,SCOT,16,25,0.36
libsvm_svc,SCOT,18,25,0.4
libsvm_svc,SCOT,22,25,0.36
libsvm_svc,SCOT,23,25,0.36
libsvm_svc,SCOT,28,25,0.4
libsvm_svc,SCOT,29,25,0.4
libsvm_svc,SCOT,31,25,0.4
libsvm_svc,SCOT,32,25,0.48
libsvm_svc,SCOT,37,25,0.4
libsvm_svc,SCOT,43,25,0.28
libsvm_svc,SCOT,45,25,0.4
libsvm_svc,SCOT,49,25,0.48
libsvm_svc,SCOT,53,25,0.4
libsvm_svc,SCOT,219,25,0.6
libsvm_svc,SCOT,2074,25,0.52
libsvm_svc,SCOT,2079,25,0.52
libsvm_svc,SCOT,3021,25,0.36
libsvm_svc,SCOT,3022,25,0.48
libsvm_svc,SCOT,3481,25,0.32
libsvm_svc,SCOT,3549,25,0.4
libsvm_svc,SCOT,3560,25,0.32
libsvm_svc,SCOT,3573,25,0.52
libsvm_svc,SCOT,3902,25,0.48
libsvm_svc,SCOT,3903,25,0.36
libsvm_svc,SCOT,3904,25,0.44
libsvm_svc,SCOT,3913,25,0.48
libsvm_svc,SCOT,3917,25,0.44
libsvm_svc,SCOT,3918,25,0.36
libsvm_svc,SCOT,7592,25,0.36
libsvm_svc,SCOT,9910,25,0.52
libsvm_svc,SCOT,9946,25,0.44
libsvm_svc,SCOT,9952,25,0.48
libsvm_svc,SCOT,9957,25,0.48
libsvm_svc,SCOT,9960,25,0.48
libsvm_svc,SCOT,9964,25,0.48
libsvm_svc,SCOT,9971,25,0.44
libsvm_svc,SCOT,9976,25,0.44
libsvm_svc,SCOT,9977,25,0.36
libsvm_svc,SCOT,9978,25,0.36
libsvm_svc,SCOT,9981,25,0.4
libsvm_svc,SCOT,9985,25,0.44
libsvm_svc,SCOT,10093,25,0.48
libsvm_svc,SCOT,10101,25,0.52
libsvm_svc,SCOT,14952,25,0.4
libsvm_svc,SCOT,14954,25,0.32
libsvm_svc,SCOT,14965,25,0.36
libsvm_svc,SCOT,14969,25,0.48
libsvm_svc,SCOT,14970,25,0.36
libsvm_svc,SCOT,125920,25,0.44
libsvm_svc,SCOT,125922,25,0.44
libsvm_svc,SCOT,146195,25,0.28
libsvm_svc,SCOT,146800,25,0.44
libsvm_svc,SCOT,146817,25,0.4
libsvm_svc,SCOT,146819,25,0.48
libsvm_svc,SCOT,146820,25,0.48
libsvm_svc,SCOT,146821,25,0.48
libsvm_svc,SCOT,146824,25,0.48
libsvm_svc,SCOT,167125,25,0.44
