Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,random_state,loss_hinge,loss_squared_hinge
analcatdata_creditscore_461,1.0,0.0010263919830322,0.0001156330108642,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.406306455426908,1.0,1320.0,0.000356330729428,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0011193752288818,0.0001225471496582,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3447387685411867,1.0,1469.0,0.0003573505596813,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0010905265808105,0.0001180171966552,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1239806713476299,1.0,925.0,0.0001534188679087,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0010526180267333,0.000117540359497,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3284745417482481,0.0,460.0,0.0002607024013141,0.0,0.0,1.0
analcatdata_creditscore_461,1.0,0.0017955303192138,0.0001523494720458,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3983754658156472,1.0,908.0,0.0029237151303157,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.001133918762207,0.0001168251037597,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1048514033367184,0.0,1106.0,0.0010361823254933,0.0,1.0,0.0
analcatdata_creditscore_461,1.0,0.0011532306671142,0.0001165866851806,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.301855755261029,1.0,1793.0,0.0001362299321092,0.0,0.0,1.0
sa-heart_1498,0.8152173913043478,0.0011694431304931,0.0001173019409179,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3625910464797985,0.0,583.0,0.0098759757500981,0.0,1.0,0.0
sa-heart_1498,0.8152173913043478,0.0011186599731445,0.0001184940338134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1268419624043635,0.0,984.0,0.0013639202058263,0.0,0.0,1.0
sa-heart_1498,0.8152173913043478,0.0012195110321044,0.0001187324523925,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.653636033471223,0.0,796.0,0.000204681216424,0.0,1.0,0.0
sa-heart_1498,0.8152173913043478,0.0012037754058837,0.0001258850097656,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1663348215348547,1.0,1275.0,0.0001250069602698,0.0,0.0,1.0
