Dataset,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,degree,gamma,coef0,shrinking,tol,random_state,kernel_linear,kernel_poly,kernel_rbf,kernel_sigmoid
autoUniv-au6-1000_1555,0.335,0.0276386737823486,0.0059072971343994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6545050897580756,3.0,0.4565162447358945,-0.3373450294283183,1.0,0.0001273734107913,0.0,0.0,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.335,0.0277910232543945,0.00579833984375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3298744622211776,2.0,-1.0,-0.4346112387894743,1.0,0.0004921970145502,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.335,0.027738332748413,0.0059165954589843,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8889712112977786,2.0,0.0104858590650827,0.0288748584612284,1.0,0.0049818163311427,0.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.335,0.0290455818176269,0.0060367584228515,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.973280120821935,4.0,-2.0,0.0861077228251681,1.0,0.0001301626764005,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.335,0.0281112194061279,0.0058188438415527,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9728188076303564,2.0,-2.0,-0.2812910016206643,1.0,0.0003947217123877,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.335,0.0287656784057617,0.0059311389923095,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2362191452463789,2.0,-1.0,0.6322829538828333,1.0,0.0001322726199432,0.0,0.0,1.0,0.0,0.0
autoUniv-au6-1000_1555,0.325,0.2802755832672119,0.0832295417785644,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.921974909916943,4.0,-1.0,-0.4533376444603658,0.0,0.0004925190240694,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.325,0.2842023372650146,0.1018762588500976,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7962736661983103,3.0,-1.0,-0.2065283679050628,0.0,0.000598136264576,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.32,0.2797334194183349,0.0781934261322021,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3212750926566866,4.0,-1.0,-0.4896405953187091,1.0,0.0010795903413829,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.32,0.0289461612701416,0.0061686038970947,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.023855119046987,3.0,0.4842064894840056,-0.1050909866319173,1.0,0.0013679425688251,0.0,0.0,0.0,0.0,1.0
autoUniv-au6-1000_1555,0.32,0.0594241619110107,0.0097389221191406,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.173419184875099,2.0,-1.0,-0.5222695253677453,0.0,0.0022581172674613,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.32,0.0842745304107666,0.0116848945617675,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1048062747947282,2.0,0.973360244051118,0.3795064939610268,0.0,0.0014532284164151,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.32,0.085435152053833,0.0119938850402832,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6480119772896222,4.0,-2.0,-0.2287583518918448,1.0,0.0003773666734241,0.0,0.0,0.0,1.0,0.0
autoUniv-au6-1000_1555,0.32,0.0537946224212646,0.0078635215759277,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1282296222372406,2.0,-2.0,0.2097381719979107,1.0,0.0003044944101642,0.0,1.0,0.0,0.0,0.0
