task_id,feature_type,pipeline,ndcg@5,ndcg@10,ndcg@20
9957,handcrafted,adaboost,0.39999999999999997,0.6,0.45
9960,handcrafted,adaboost,0.5999999999999999,0.3,0.3
9964,handcrafted,adaboost,0.39999999999999997,0.4,0.65
9971,handcrafted,adaboost,0.39999999999999997,0.3,0.45
9976,handcrafted,adaboost,0.19999999999999998,0.1,0.2
9977,handcrafted,adaboost,0.39999999999999997,0.3,0.45
9978,handcrafted,adaboost,0.19999999999999998,0.5,0.5
9981,handcrafted,adaboost,0.39999999999999997,0.3,0.25
9985,handcrafted,adaboost,0.19999999999999998,0.2,0.25
10093,handcrafted,adaboost,0.39999999999999997,0.5,0.6
10101,handcrafted,adaboost,0.39999999999999997,0.3,0.35
14952,handcrafted,adaboost,0.19999999999999998,0.2,0.4
14954,handcrafted,adaboost,0.39999999999999997,0.4,0.45
14965,handcrafted,adaboost,0.39999999999999997,0.3,0.25
14969,handcrafted,adaboost,0.19999999999999998,0.1,0.35
14970,handcrafted,adaboost,0.19999999999999998,0.3,0.4
125920,handcrafted,adaboost,0.39999999999999997,0.4,0.4
125922,handcrafted,adaboost,0.39999999999999997,0.5,0.65
146195,handcrafted,adaboost,0.39999999999999997,0.4,0.5
146800,handcrafted,adaboost,0.19999999999999998,0.1,0.25
146817,handcrafted,adaboost,0.19999999999999998,0.4,0.55
146819,handcrafted,adaboost,0.19999999999999998,0.3,0.5
146820,handcrafted,adaboost,0.39999999999999997,0.3,0.45
146821,handcrafted,adaboost,0.19999999999999998,0.4,0.4
146824,handcrafted,adaboost,0.19999999999999998,0.5,0.65
167125,handcrafted,adaboost,0.5999999999999999,0.4,0.35
3,metafeatx,random_forest,0.19999999999999998,0.1,0.55
6,metafeatx,random_forest,0.19999999999999998,0.2,0.65
11,metafeatx,random_forest,0.39999999999999997,0.6,0.75
12,metafeatx,random_forest,0.19999999999999998,0.1,0.25
14,metafeatx,random_forest,0.39999999999999997,0.6,0.75
15,metafeatx,random_forest,0.19999999999999998,0.1,0.25
16,metafeatx,random_forest,0.39999999999999997,0.6,0.85
18,metafeatx,random_forest,0.19999999999999998,0.1,0.1
22,metafeatx,random_forest,0.39999999999999997,0.5,0.8
23,metafeatx,random_forest,0.19999999999999998,0.4,0.4
28,metafeatx,random_forest,0.39999999999999997,0.5,0.55
29,metafeatx,random_forest,0.19999999999999998,0.2,0.45
31,metafeatx,random_forest,0.19999999999999998,0.5,0.55
32,metafeatx,random_forest,0.39999999999999997,0.5,0.6
37,metafeatx,random_forest,0.19999999999999998,0.4,0.4
43,metafeatx,random_forest,0.39999999999999997,0.4,0.5
45,metafeatx,random_forest,0.19999999999999998,0.2,0.4
49,metafeatx,random_forest,0.39999999999999997,0.4,0.6
53,metafeatx,random_forest,0.19999999999999998,0.1,0.1
219,metafeatx,random_forest,0.19999999999999998,0.1,0.15
2074,metafeatx,random_forest,0.39999999999999997,0.6,0.65
2079,metafeatx,random_forest,0.19999999999999998,0.2,0.55
3021,metafeatx,random_forest,0.19999999999999998,0.1,0.45
3022,metafeatx,random_forest,0.19999999999999998,0.3,0.5
3481,metafeatx,random_forest,0.19999999999999998,0.1,0.3
3549,metafeatx,random_forest,0.19999999999999998,0.2,0.5
3560,metafeatx,random_forest,0.19999999999999998,0.4,0.6
3573,metafeatx,random_forest,0.19999999999999998,0.1,0.2
3902,metafeatx,random_forest,0.19999999999999998,0.4,0.65
3903,metafeatx,random_forest,0.19999999999999998,0.4,0.8
3904,metafeatx,random_forest,0.19999999999999998,0.3,0.55
3913,metafeatx,random_forest,0.39999999999999997,0.5,0.8
3917,metafeatx,random_forest,0.5999999999999999,0.8,0.85
3918,metafeatx,random_forest,0.5999999999999999,0.7,0.8
7592,metafeatx,random_forest,0.19999999999999998,0.1,0.2
9910,metafeatx,random_forest,0.19999999999999998,0.1,0.3
9946,metafeatx,random_forest,0.19999999999999998,0.1,0.15
9952,metafeatx,random_forest,0.39999999999999997,0.4,0.55
9957,metafeatx,random_forest,0.7999999999999999,0.7,0.75
9960,metafeatx,random_forest,0.5999999999999999,0.5,0.75
9964,metafeatx,random_forest,0.7999999999999999,0.9,0.85
9971,metafeatx,random_forest,0.19999999999999998,0.3,0.45
9976,metafeatx,random_forest,0.39999999999999997,0.4,0.7
9977,metafeatx,random_forest,0.19999999999999998,0.7,0.85
9978,metafeatx,random_forest,0.19999999999999998,0.3,0.55
9981,metafeatx,random_forest,0.19999999999999998,0.1,0.15
9985,metafeatx,random_forest,0.39999999999999997,0.2,0.3
10093,metafeatx,random_forest,0.19999999999999998,0.2,0.3
10101,metafeatx,random_forest,0.5999999999999999,0.3,0.8
14952,metafeatx,random_forest,0.19999999999999998,0.3,0.7
14954,metafeatx,random_forest,0.19999999999999998,0.1,0.3
14965,metafeatx,random_forest,0.19999999999999998,0.1,0.5
14969,metafeatx,random_forest,0.5999999999999999,0.7,0.8
14970,metafeatx,random_forest,0.39999999999999997,0.6,0.8
125920,metafeatx,random_forest,0.7999999999999999,0.6,0.85
125922,metafeatx,random_forest,0.19999999999999998,0.4,0.6
146195,metafeatx,random_forest,0.19999999999999998,0.3,0.45
