task_id,predictive_accuracy,classifier__bootstrap,classifier__criterion,classifier__max_features,classifier__min_samples_leaf,classifier__min_samples_split,imputation__strategy
29.0,0.8782608695652173,True,entropy,0.8291020217011263,5,9,mean
29.0,0.8782608695652173,True,gini,0.6233033156202046,5,9,median
29.0,0.8782608695652173,True,entropy,0.3784959282992232,2,6,mean
29.0,0.8782608695652173,True,gini,0.529913560582229,3,7,median
29.0,0.8782608695652173,True,gini,0.6200578644365714,1,16,mean
29.0,0.8782608695652173,True,gini,0.6703109402232056,3,2,mean
29.0,0.8782608695652173,True,gini,0.3394654560629752,6,7,median
29.0,0.8768115942028986,True,gini,0.8198579765329613,6,3,mean
29.0,0.8768115942028986,True,gini,0.5390827731459225,2,11,mean
29.0,0.8768115942028986,True,entropy,0.726333657928713,6,13,mean
29.0,0.8768115942028986,True,entropy,0.6224126955930909,3,6,mean
29.0,0.8768115942028986,False,gini,0.35859927912768286,4,7,mean
29.0,0.8768115942028986,True,gini,0.405046899854834,3,9,mean
29.0,0.8768115942028986,True,gini,0.489115514572079,2,6,mean
29.0,0.8768115942028986,True,gini,0.5878955583600741,4,8,median
29.0,0.8768115942028986,True,entropy,0.6492548985592171,3,4,mean
29.0,0.8768115942028986,True,entropy,0.6504808139572582,4,5,mean
31.0,0.774,True,entropy,0.4462470295808715,1,4,most_frequent
31.0,0.774,True,entropy,0.2697628608368222,1,16,median
31.0,0.774,True,gini,0.7094063292394396,1,14,median
31.0,0.774,True,entropy,0.5678405964422021,3,15,mean
31.0,0.773,False,entropy,0.18151571907323236,7,14,mean
31.0,0.773,True,entropy,0.39600565662741294,2,7,most_frequent
31.0,0.773,True,gini,0.4331195644125939,6,4,median
31.0,0.773,True,entropy,0.45024185811678685,2,18,mean
31.0,0.773,False,gini,0.21277348781429417,3,13,median
31.0,0.773,True,gini,0.23786797561012235,2,4,most_frequent
31.0,0.773,False,gini,0.23934600088584138,7,6,most_frequent
31.0,0.773,True,entropy,0.542919316680544,4,14,mean
31.0,0.773,True,entropy,0.6895522289127677,1,10,median
31.0,0.773,True,entropy,0.3265453327439072,5,14,mean
31.0,0.772,False,gini,0.20450505546339262,6,18,median
31.0,0.772,True,entropy,0.6843595775483963,1,20,median
31.0,0.772,True,gini,0.33080050090305746,6,18,most_frequent
31.0,0.772,True,entropy,0.46461516315032436,6,9,median
31.0,0.772,True,entropy,0.556106213130174,3,12,mean
31.0,0.772,True,entropy,0.1942764359894815,2,11,most_frequent
32.0,0.9911754002911208,False,entropy,0.2504297995494562,2,9,median
32.0,0.9909024745269286,False,entropy,0.2670820074286462,3,12,median
32.0,0.990811499272198,False,entropy,0.3166714677428798,2,12,mean
32.0,0.9907205240174674,False,entropy,0.26747737093406,4,5,median
32.0,0.9906295487627365,False,gini,0.44130998395065013,1,10,median
32.0,0.9904475982532752,True,gini,0.26085960206731623,2,9,median
32.0,0.9904475982532752,True,gini,0.19252749129924204,1,4,mean
32.0,0.9903566229985443,False,gini,0.31229647407419026,2,17,most_frequent
32.0,0.9903566229985443,False,gini,0.5544964517685379,1,6,median
32.0,0.9903566229985443,False,gini,0.19986764708325344,3,16,most_frequent
32.0,0.9902656477438136,False,gini,0.21747344369910915,4,11,median
32.0,0.9902656477438136,False,entropy,0.28852632430139097,6,3,mean
32.0,0.9902656477438136,False,gini,0.2317767990118716,4,10,most_frequent
32.0,0.9901746724890831,False,entropy,0.16204138654313383,3,4,median
32.0,0.9901746724890831,False,gini,0.33169353920234795,3,9,mean
32.0,0.9900836972343522,False,entropy,0.41927183171908455,5,6,most_frequent
32.0,0.9899927219796215,True,entropy,0.8391418416034149,1,4,mean
32.0,0.9899927219796215,True,entropy,0.33609565640540984,1,10,most_frequent
32.0,0.9899927219796215,True,entropy,0.7885346941261705,1,8,most_frequent
32.0,0.989901746724891,False,gini,0.47171720237771975,4,7,most_frequent
37.0,0.7799479166666667,False,gini,0.4668442343105498,2,20,most_frequent
37.0,0.7799479166666667,False,gini,0.5706513420940119,16,3,median
37.0,0.7799479166666667,True,gini,0.7607048940053546,2,5,median
37.0,0.7799479166666667,True,gini,0.47392887713820075,7,17,most_frequent
37.0,0.7799479166666667,False,gini,0.42763308566183356,13,3,median
37.0,0.7799479166666667,False,gini,0.4778139418137456,6,15,median
37.0,0.7799479166666667,True,gini,0.3335010740771649,3,7,median
