task_id,predictive_accuracy,classifier__algorithm,classifier__base_estimator__max_depth,classifier__learning_rate,classifier__n_estimators,imputation__strategy
14.0,0.8454999999999999,SAMME,8,0.22139630106657948,456,most_frequent
14.0,0.845,SAMME,8,0.04108061974263999,288,most_frequent
14.0,0.845,SAMME,9,0.21671367229064847,232,mean
14.0,0.8445,SAMME,7,0.35281156876546915,381,most_frequent
14.0,0.8445,SAMME,9,0.16022167314799707,404,mean
14.0,0.8440000000000001,SAMME,6,0.18724766923186512,310,median
14.0,0.8440000000000001,SAMME,10,0.16347015317563876,445,most_frequent
14.0,0.8434999999999999,SAMME,10,0.15583878513580768,460,median
14.0,0.8434999999999999,SAMME,6,0.45787529201281446,431,median
14.0,0.843,SAMME,7,0.13153809476477196,199,median
14.0,0.843,SAMME,10,0.09804254551896967,496,most_frequent
14.0,0.843,SAMME,7,0.16891444917820309,349,median
14.0,0.843,SAMME,9,0.5725519766219104,350,mean
14.0,0.843,SAMME,7,0.08096206553999802,317,mean
14.0,0.843,SAMME,7,0.17240873590478162,205,median
14.0,0.8425,SAMME,7,0.06372546736295662,358,most_frequent
14.0,0.8425,SAMME,5,0.8370897248038129,401,median
14.0,0.8425,SAMME,9,0.18743671892377067,277,most_frequent
15.0,0.9656652360515021,SAMME.R,5,1.106324527157148,139,most_frequent
15.0,0.9656652360515021,SAMME,6,0.07388318849670511,305,mean
15.0,0.9656652360515021,SAMME.R,4,0.055816153628749005,204,most_frequent
15.0,0.9656652360515021,SAMME,4,0.9174514820038993,456,median
15.0,0.9656652360515021,SAMME,5,1.3325878110809972,364,mean
15.0,0.9656652360515021,SAMME,4,0.3381780140699998,217,median
15.0,0.9642346208869814,SAMME,3,0.37135435537153305,313,mean
15.0,0.9642346208869814,SAMME,7,1.166971398987607,459,median
15.0,0.9642346208869814,SAMME.R,6,0.012946760656436773,248,most_frequent
15.0,0.9642346208869814,SAMME.R,4,1.3069994374143248,270,most_frequent
15.0,0.9642346208869814,SAMME,6,0.529061319101713,142,mean
15.0,0.9642346208869814,SAMME.R,3,0.9036846697537531,220,most_frequent
15.0,0.9642346208869814,SAMME.R,1,0.6594093081077713,430,most_frequent
15.0,0.9642346208869814,SAMME,5,0.3944825865387677,253,most_frequent
15.0,0.9642346208869814,SAMME.R,5,0.842712929382235,386,mean
15.0,0.9642346208869814,SAMME,4,1.6944504077690243,306,mean
15.0,0.9642346208869814,SAMME,6,0.5525555016775174,483,most_frequent
15.0,0.9642346208869814,SAMME,6,0.046467236342088915,438,most_frequent
15.0,0.9642346208869814,SAMME.R,5,0.0101893138436967,79,median
15.0,0.9642346208869814,SAMME,6,0.38480028484023693,242,mean
16.0,0.9704999999999999,SAMME,9,0.6819538795504309,164,mean
16.0,0.97,SAMME,7,1.3251805513245434,193,most_frequent
16.0,0.97,SAMME,7,0.9725766561490735,448,most_frequent
16.0,0.97,SAMME.R,9,1.2431060524552986,271,mean
16.0,0.97,SAMME,7,0.9821312068208394,398,most_frequent
16.0,0.9695,SAMME,5,1.1062772239054153,369,median
16.0,0.9695,SAMME,7,1.9784130977393335,305,most_frequent
16.0,0.9695,SAMME,7,0.9042942428132364,315,most_frequent
