task_id,classifier__base_estimator__max_depth,classifier__learning_rate,classifier__n_estimators,classifier__algorithm_0.0,classifier__algorithm_1.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0,accuracy
3,0.5409626676512168,1.6302567496588494,1.7018746786514252,1.0,0.0,0.0,1.0,0.0,0.7842628836849203
3,1.2373157784647724,-0.5899157028577438,1.431877124248677,0.0,1.0,1.0,0.0,0.0,0.8493111592209734
3,1.2373157784647724,-0.5001049900630178,1.023023684724515,0.0,1.0,0.0,1.0,0.0,0.8390604296034138
3,1.2373157784647724,-0.0384578306397641,-1.3220979306593554,0.0,1.0,1.0,0.0,0.0,0.8820655006221713
3,0.8891392230579946,0.355773413635552,-1.3066694989791985,0.0,1.0,0.0,0.0,1.0,0.7939855757518051
3,0.5409626676512168,1.2902289301004888,1.370163397528049,0.0,1.0,0.0,1.0,0.0,0.7808572575177771
3,0.8891392230579946,1.1750737113412242,-1.4532395999406904,0.0,1.0,1.0,0.0,0.0,0.8198989651823311
3,1.58549233387155,1.3846316212529852,1.177308001526086,1.0,0.0,1.0,0.0,0.0,0.8319262585847382
3,1.58549233387155,-1.3697256545144745,-0.3346783031293046,0.0,1.0,0.0,0.0,1.0,0.8563215345878662
3,1.58549233387155,0.1828352405944881,1.4550197717689128,0.0,1.0,0.0,0.0,1.0,0.7635667410150666
3,-1.199920109382672,0.915549484944302,-0.0415381012063207,1.0,0.0,1.0,0.0,0.0,0.9463964443890585
3,-0.1553904431623386,-0.3430174299237923,-1.5303817583414756,1.0,0.0,1.0,0.0,0.0,0.9354446561340585
3,1.58549233387155,-1.5021420767080116,0.9304530946435732,0.0,1.0,1.0,0.0,0.0,0.9039464422243505
3,-0.5035669985691166,1.6048059598063495,0.2978873957571343,1.0,0.0,0.0,1.0,0.0,0.8745727547733478
3,0.8891392230579946,1.4759595276125517,1.5707330093700904,1.0,0.0,0.0,1.0,0.0,0.7555167825701518
3,0.5409626676512168,1.59184558890353,-0.8823876277748797,1.0,0.0,0.0,0.0,1.0,0.801369473368029
3,1.2373157784647724,1.4793656252045502,0.0587467047146998,1.0,0.0,0.0,0.0,1.0,0.8039943933269116
3,0.192786112244439,0.9102246861701424,0.9613099580038872,0.0,1.0,0.0,0.0,1.0,0.788851801246035
3,1.58549233387155,-1.303019639639327,0.7838829936820813,0.0,1.0,0.0,1.0,0.0,0.8729627922372905
3,-0.1553904431623386,1.2338856980552542,0.7453119144816889,1.0,0.0,0.0,0.0,1.0,0.8149794969196963
3,1.58549233387155,-0.1246906026519999,-1.3529547940196696,0.0,1.0,0.0,1.0,0.0,0.8737057251318492
3,1.2373157784647724,-1.5698683387084815,1.4704482034490698,0.0,1.0,0.0,0.0,1.0,0.8407505819326794
3,-0.5035669985691166,1.1561641570480543,1.5244477143296191,1.0,0.0,0.0,1.0,0.0,0.8339269871383169
3,1.58549233387155,-0.1315096875511677,-1.0829572396169211,0.0,1.0,0.0,1.0,0.0,0.820430241774035
3,1.2373157784647724,0.3986230387044733,0.1513172947956421,0.0,1.0,0.0,0.0,1.0,0.8094450389497096
3,1.58549233387155,-1.1368929818556857,0.5138854392793331,0.0,1.0,0.0,0.0,1.0,0.8437388580889917
3,1.58549233387155,0.135970418546981,0.0278898413543857,0.0,1.0,1.0,0.0,0.0,0.8813813811450854
3,0.5409626676512168,1.2477028218439177,0.0433182730345427,0.0,1.0,0.0,0.0,1.0,0.7817365428746861
3,0.5409626676512168,1.492068397406402,0.2361736690365061,1.0,0.0,0.0,0.0,1.0,0.786410341857548
3,1.58549233387155,0.1997584944303348,-1.021243512896293,0.0,1.0,1.0,0.0,0.0,0.8503932018014407
3,0.8891392230579946,0.1451565680390355,1.501305066809384,0.0,1.0,0.0,0.0,1.0,0.8231230828366539
3,1.58549233387155,-0.7020507241352267,1.7327315420117393,0.0,1.0,1.0,0.0,0.0,0.8234380932185039
3,0.5409626676512168,1.234733830799876,1.6864462469712682,1.0,0.0,0.0,1.0,0.0,0.8047618711287307
3,0.8891392230579946,1.352808268836351,1.41644869256852,1.0,0.0,1.0,0.0,0.0,0.8854030440062252
3,1.2373157784647724,-0.3272764875161764,-0.604675857532053,0.0,1.0,0.0,0.0,1.0,0.8033066844671838
3,0.8891392230579946,1.5724390002028228,0.5601707343198042,0.0,1.0,0.0,1.0,0.0,0.7877031473421026
3,-0.1553904431623386,1.494196201362395,0.4830285759190189,1.0,0.0,1.0,0.0,0.0,0.9066903139640072
