task_id,classifier__C,classifier__coef0,classifier__degree,classifier__gamma,classifier__tol,classifier__kernel_0.0,classifier__kernel_1.0,classifier__kernel_2.0,classifier__shrinking_0.0,imputation__strategy_0.0,imputation__strategy_1.0,imputation__strategy_2.0,accuracy
3,-0.7554191154341692,0.4532679027768003,1.4329031380017934,-0.3526614880652101,0.883200669166301,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7585394224720073
3,0.3414397022161738,-0.0055223702142464,1.4329031380017934,0.6154112177150108,-1.0733553306089834,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8225511074478388
3,-0.6840567095056889,1.697150048463061,1.4329031380017934,0.3249740646804578,1.318756747943668,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7557769215798309
3,1.0944051313211816,0.8966771677328289,0.7244296587537228,1.1030144684103236,-0.6640163736260255,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8318507661044758
3,-0.6613590304444579,-1.4929346216554766,0.7244296587537228,-0.2144000594748066,-0.2049022114547579,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9345860269778273
3,0.8800866225675791,1.5036704136386685,0.7244296587537228,0.4394264354381071,-0.0745440174549414,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.788297925913805
3,0.4782046041411796,-0.8567153472052303,0.7244296587537228,0.682251912099505,0.2157522808923652,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8842318980087289
3,0.8469263620689143,-1.5912028824503872,1.4329031380017934,-0.2362370693952235,-0.0339993897013641,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8134222254246511
3,0.7369110710613304,-1.012148931556951,0.7244296587537228,1.3293561178839686,1.0167041641014785,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8621662970320918
3,0.8982264080566718,-0.0878349020251396,1.4329031380017934,-0.3351213331360843,1.0691791619443818,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8912437526408344
3,-1.2962684749814395,-0.1698767992387716,1.4329031380017934,1.2915668566389136,1.512218007754208,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8525601896996273
3,0.8643937962283595,-1.0557451065638808,-0.6925172997424176,-0.12176157058296,1.0020638570750062,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8920397045742982
3,0.4706405315968385,1.363574954836757,1.4329031380017934,1.759229427533585,0.7921819417141188,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7847513086534765
3,0.960559001250322,0.831280677012953,0.7244296587537228,-0.1624316474823661,-0.8840475843944189,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.799534902459462
3,1.6879697756077452,0.1313526061372097,1.4329031380017934,-0.8376628292642136,-0.7395668851236207,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8512797952731423
3,-1.0596438563983512,-1.3676635420949343,1.4329031380017934,0.138616387617296,-0.3644552936945985,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.959054715489992
3,1.070287357090898,-0.232531773746409,0.7244296587537228,-0.1200717640252413,1.6271795400074036,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8788405948821946
3,-1.2730051051921432,0.9975333521896586,1.4329031380017934,1.5044434373169735,1.5396330214346954,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7819118539607846
3,0.8321213077561274,-1.0360180639671592,1.4329031380017934,1.450553847772939,1.5354779219558732,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8232900256119882
3,1.7424149997905314,-1.4447633193721086,1.4329031380017934,-0.2933802825230012,1.2084888714059694,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7604865693152526
3,1.6104950961441906,1.6300824432622063,-1.400990778990488,-0.4048700848364681,-0.9308899420060284,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8202187395435275
3,-0.2855947088627665,-1.2679190986701614,0.7244296587537228,1.1387324080149706,1.5696927981577549,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8960488289588484
