Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,binarize,fit_prior
sa-heart_1498,2,0.8152173913043478,0.0014607906341552,0.0003530979156494,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.180302371755067,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0018212795257568,0.0012288093566894,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.958294537442612,0.0083116942766945,True
sa-heart_1498,2,0.8152173913043478,0.0012218952178955,0.0003004074096679,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.126097847936155,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0012037754058837,0.0002963542938232,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.1685676339866888,0.0,True
sa-heart_1498,2,0.8152173913043478,0.0013482570648193,0.0003035068511962,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.7620566473247345,0.319868147527005,False
sa-heart_1498,2,0.8152173913043478,0.0015420913696289,0.00034761428833,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0014062848383365,0.0539417338546375,False
sa-heart_1498,2,0.8152173913043478,0.001267671585083,0.000300645828247,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.140434063170833,0.0,True
sa-heart_1498,0,0.7849462365591398,0.0012876987457275,0.0003135204315185,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.914198893207642,0.0,False
sa-heart_1498,0,0.7849462365591398,0.0014305114746093,0.0003376007080078,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.128917887745735,0.0,True
autoUniv-au6-400_1551,2,0.3875,0.002509593963623,0.0008814334869384,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.378074229761463,0.0,True
autoUniv-au6-400_1551,3,0.3875,0.0015604496002197,0.0002908706665039,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1189583086744585,0.3355707099645604,True
autoUniv-au6-400_1551,3,0.3875,0.0014891624450683,0.0002799034118652,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5424244426205107,0.4672132068082684,False
autoUniv-au6-400_1551,3,0.3875,0.0015552043914794,0.0002820491790771,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.215066231219041,0.0,False
autoUniv-au6-400_1551,3,0.3875,0.0015773773193359,0.0002822875976562,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1977887552231232,0.0,True
autoUniv-au6-400_1551,2,0.3875,0.0021784305572509,0.0007374286651611,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.10904941783444,0.3465507758198628,True
autoUniv-au6-400_1551,3,0.375,0.0015144348144531,0.0002827644348144,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.103922457549174,0.0,True
autoUniv-au6-400_1551,3,0.375,0.0015716552734375,0.0002884864807128,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2173692449748125,0.0520181722956512,True
autoUniv-au6-400_1551,3,0.375,0.0015702247619628,0.0002999305725097,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4507536092891442,0.0,True
autoUniv-au6-400_1551,3,0.375,0.0015308856964111,0.0002791881561279,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6839543450957137,0.2435025357790752,True
autoUniv-au6-400_1551,1,0.3625,0.0017695426940917,0.0003459453582763,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.812181419076295,0.0319883182707818,False
autoUniv-au6-400_1551,1,0.3625,0.0015461444854736,0.0003120899200439,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.576281434530724,0.3090345502403416,True
autoUniv-au6-400_1551,1,0.3625,0.0016288757324218,0.0003008842468261,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2057614408764654,0.2807327300286697,False
autoUniv-au6-400_1551,3,0.3625,0.0016145706176757,0.0002949237823486,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6147270058134108,0.0,False
autoUniv-au6-400_1551,3,0.3625,0.0016505718231201,0.0003025531768798,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1005932526286263,0.2156355505577624,True
autoUniv-au6-400_1551,3,0.3625,0.0015845298767089,0.0002872943878173,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1739075822970392,0.3000544079513714,False
autoUniv-au6-400_1551,3,0.3625,0.0015435218811035,0.0002894401550292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.172489843805142,0.0,False
autoUniv-au6-400_1551,1,0.3625,0.0015852451324462,0.0002851486206054,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.240060622162676,0.0,True
autoUniv-au6-400_1551,3,0.35,0.0022947788238525,0.0007565021514892,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6837487852807654,0.0,True
autoUniv-au6-400_1551,3,0.35,0.0015211105346679,0.0002834796905517,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8930638793885013,0.0,False
analcatdata_marketing_986,4,0.6805555555555556,0.0018179416656494,0.0003373622894287,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.105922237176205,0.0,True
