Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,fit_intercept,max_iter,tol,loss,random_state
autoUniv-au6-1000_1555,2,0.23,0.0070419311523437,0.0001502037048339,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.502924537809235,False,654,0.0006685543698479,squared_hinge,0
autoUniv-au6-1000_1555,2,0.225,0.0128312110900878,0.000187873840332,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2375516876675793,True,621,0.0005730057762714,hinge,0
autoUniv-au6-1000_1555,2,0.225,0.013953685760498,0.0003247261047363,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9760013507267776,False,840,0.0019144510104817,hinge,0
autoUniv-au6-1000_1555,3,0.22,0.245924711227417,0.0005974769592285,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1686486086072925,False,702,0.0002992193487823,hinge,0
autoUniv-au6-1000_1555,3,0.22,0.2474315166473388,0.0006079673767089,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0824901170440853,False,860,0.0097590350531788,squared_hinge,0
autoUniv-au6-1000_1555,1,0.22,0.056899070739746,0.0003035068511962,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.392230166605992,False,1000,0.0001013464206091,hinge,0
autoUniv-au6-1000_1555,1,0.22,0.0569593906402587,0.0003011226654052,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9276551975560178,True,946,0.0008545830900609,hinge,0
autoUniv-au6-1000_1555,3,0.215,0.0332028865814209,0.0003395080566406,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4527573798596254,False,1051,0.0002875105075936,hinge,0
autoUniv-au6-1000_1555,4,0.215,0.0098927021026611,0.0002145767211914,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1887563433687206,True,900,0.0005116072867448,squared_hinge,0
analcatdata_creditscore_461,1,1.0,0.000988483428955,0.000115156173706,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5219912659151968,True,581,0.0053235830900015,hinge,0
