Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,var_smoothing
sa-heart_1498,2,0.8260869565217391,0.0008864402770996,0.0001676082611083,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.376566706419616e-08
sa-heart_1498,2,0.8260869565217391,0.0010898113250732,0.0002264976501464,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.13736279248143e-11
sa-heart_1498,2,0.8043478260869565,0.0008556842803955,0.0001599788665771,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.739666613281939e-10
sa-heart_1498,2,0.8043478260869565,0.0011115074157714,0.000190258026123,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.8248946899555158e-09
sa-heart_1498,2,0.8043478260869565,0.0008933544158935,0.0001859664916992,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.4678371546676154e-10
sa-heart_1498,2,0.8043478260869565,0.000868797302246,0.0001606941223144,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.79151576376613e-08
sa-heart_1498,2,0.8043478260869565,0.0009040832519531,0.0001866817474365,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.445901544229981e-10
sa-heart_1498,2,0.8043478260869565,0.0008521080017089,0.0001630783081054,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6102336324112702e-11
sa-heart_1498,2,0.8043478260869565,0.0009665489196777,0.0001990795135498,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.062134440649452e-11
sa-heart_1498,2,0.8043478260869565,0.0009272098541259,0.0001885890960693,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.348725203185338e-09
autoUniv-au6-400_1551,3,0.4,0.0014054775238037,0.0002954006195068,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.585713774431073e-09
autoUniv-au6-400_1551,3,0.4,0.0013554096221923,0.000295877456665,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.64125992649244e-08
autoUniv-au6-400_1551,3,0.4,0.0013737678527832,0.0002884864807128,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5111096308901582e-09
