Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,alpha,fit_prior
analcatdata_creditscore_461,4,1.0,0.0010993480682373,0.0001351833343505,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7301195883237999,True
analcatdata_creditscore_461,0,1.0,0.0010051727294921,8.702278137207031e-05,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1714501785620792,False
analcatdata_creditscore_461,1,1.0,0.0009968280792236,0.000105857849121,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1628378449136152,True
analcatdata_creditscore_461,3,1.0,0.001101016998291,8.702278137207031e-05,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1006930793083663,True
analcatdata_creditscore_461,4,1.0,0.000988483428955,8.606910705566406e-05,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3797610706737249,False
analcatdata_creditscore_461,0,1.0,0.0010221004486083,8.845329284667969e-05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.732014317513098,True
analcatdata_creditscore_461,3,1.0,0.0010986328125,0.0001087188720703,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1116120950653606,True
analcatdata_creditscore_461,1,1.0,0.0013306140899658,0.0001366138458251,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.8084987167180774,False
analcatdata_creditscore_461,3,1.0,0.0012168884277343,0.0001025199890136,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.1817640304538682,True
analcatdata_creditscore_461,1,1.0,0.001131534576416,0.0001094341278076,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2007478341551794,True
analcatdata_creditscore_461,0,1.0,0.0011360645294189,9.441375732421876e-05,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.7012676927719474,False
analcatdata_creditscore_461,4,1.0,0.0010852813720703,9.1552734375e-05,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0361211581406216,True
analcatdata_creditscore_461,1,1.0,0.0010211467742919,8.726119995117188e-05,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0844122904842188,False
analcatdata_creditscore_461,3,1.0,0.0009446144104003,8.726119995117188e-05,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.2112358894543916,False
analcatdata_creditscore_461,3,1.0,0.0009324550628662,0.000108003616333,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.5745234534077863,False
analcatdata_creditscore_461,4,1.0,0.0011126995086669,9.989738464355467e-05,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.985923001731141,True
sa-heart_1498,2,0.7717391304347826,0.0014865398406982,0.0001401901245117,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.94620637699193,False
sa-heart_1498,2,0.7717391304347826,0.0013809204101562,0.0001327991485595,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4992157855725588,True
sa-heart_1498,2,0.7717391304347826,0.0013654232025146,0.0001332759857177,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.8635181832068737,True
sa-heart_1498,2,0.7717391304347826,0.0014293193817138,0.0001366138458251,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7640886137521422,True
sa-heart_1498,2,0.7717391304347826,0.00152587890625,0.0001401901245117,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1885906535044617,False
sa-heart_1498,2,0.7717391304347826,0.0013854503631591,0.0001375675201416,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0252334309647275,True
sa-heart_1498,0,0.7634408602150538,0.0010561943054199,0.0001049041748046,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.4876229581832163,True
sa-heart_1498,0,0.7634408602150538,0.0010879039764404,0.0001041889190673,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.32550095408108,True
sa-heart_1498,0,0.7634408602150538,0.0010397434234619,0.0001039505004882,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5737905426038832,True
sa-heart_1498,0,0.7634408602150538,0.0011899471282958,0.000108003616333,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2238871513590123,True
sa-heart_1498,0,0.7634408602150538,0.0010449886322021,0.0001041889190673,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5.082069412559313,False
sa-heart_1498,0,0.7634408602150538,0.001039981842041,0.0001049041748046,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1269773813845675,True
sa-heart_1498,2,0.7608695652173914,0.0011155605316162,0.00010347366333,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5384477667752111,True
sa-heart_1498,2,0.7608695652173914,0.0010602474212646,0.0001027584075927,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.213489748250303,True
sa-heart_1498,2,0.7608695652173914,0.0011968612670898,0.0001060962677001,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.925527897560089,True
sa-heart_1498,2,0.7608695652173914,0.001075267791748,0.0001029968261718,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.2099962666831451,True
sa-heart_1498,2,0.7608695652173914,0.0010299682617187,0.0001037120819091,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.1556358821517424,False
sa-heart_1498,2,0.7608695652173914,0.001035451889038,0.0001041889190673,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.4020457751350505,True
sa-heart_1498,2,0.7608695652173914,0.0010719299316406,0.0001039505004882,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.3253721771886926,False
sa-heart_1498,2,0.7608695652173914,0.0010073184967041,0.0001022815704345,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.4461691378230217,True
autoUniv-au6-400_1551,2,0.35,0.0020601749420166,0.0001688003540039,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2987668552321413,False
autoUniv-au6-400_1551,3,0.35,0.0019400119781494,0.0001707077026367,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.7699074835003863,True
autoUniv-au6-400_1551,3,0.35,0.0020716190338134,0.0001723766326904,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.051223975053583,True
autoUniv-au6-400_1551,2,0.35,0.0020763874053955,0.0001685619354248,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.084779007419234,True
autoUniv-au6-400_1551,0,0.3375,0.0014514923095703,9.632110595703124e-05,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.6100760880967488,True
autoUniv-au6-400_1551,2,0.3375,0.001976728439331,0.0001544952392578,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.949703703655883,True
autoUniv-au6-400_1551,1,0.3375,0.0021154880523681,0.0001661777496337,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.4221067165302346,True
autoUniv-au6-400_1551,1,0.3375,0.0019764900207519,0.0001826286315917,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3054120966948371,False
autoUniv-au6-400_1551,0,0.3375,0.0015084743499755,0.0001018047332763,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.581103929742411,False
autoUniv-au6-400_1551,3,0.3375,0.0014309883117675,9.870529174804688e-05,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2398614384720768,True
autoUniv-au6-400_1551,0,0.3375,0.0015211105346679,0.0001113414764404,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2355004574370997,False
autoUniv-au6-400_1551,2,0.3375,0.0018997192382812,0.0001189708709716,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0519180804258665,False
autoUniv-au6-400_1551,1,0.3375,0.0019352436065673,0.0001585483551025,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.091471617241085,True
