Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,kernel,degree,gamma,coef0,shrinking,tol,random_state
autoUniv-au6-1000_1555,3,0.335,0.027738332748413,0.0059165954589843,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8889712112977786,poly,2,0.01048585906508278,0.0288748584612284,True,0.0049818163311427,0
autoUniv-au6-1000_1555,3,0.335,0.0290455818176269,0.0060367584228515,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.973280120821935,rbf,4,auto,0.0861077228251681,True,0.0001301626764005,0
autoUniv-au6-1000_1555,3,0.335,0.0281112194061279,0.0058188438415527,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9728188076303564,rbf,2,auto,-0.2812910016206643,True,0.0003947217123877,0
autoUniv-au6-1000_1555,3,0.335,0.0287656784057617,0.0059311389923095,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2362191452463789,poly,2,scale,0.6322829538828333,True,0.0001322726199432,0
autoUniv-au6-1000_1555,3,0.325,0.2802755832672119,0.0832295417785644,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2.921974909916943,rbf,4,scale,-0.4533376444603658,False,0.0004925190240694,0
autoUniv-au6-1000_1555,3,0.325,0.2842023372650146,0.1018762588500976,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.7962736661983103,rbf,3,scale,-0.2065283679050628,False,0.000598136264576,0
autoUniv-au6-1000_1555,3,0.32,0.2797334194183349,0.0781934261322021,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3212750926566866,rbf,4,scale,-0.4896405953187091,True,0.0010795903413829,0
autoUniv-au6-1000_1555,3,0.32,0.0289461612701416,0.0061686038970947,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.023855119046987,sigmoid,3,0.48420648948400563,-0.1050909866319173,True,0.0013679425688251,0
autoUniv-au6-1000_1555,3,0.32,0.0594241619110107,0.0097389221191406,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.173419184875099,rbf,2,scale,-0.5222695253677453,False,0.0022581172674613,0
autoUniv-au6-1000_1555,3,0.32,0.0842745304107666,0.0116848945617675,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1048062747947282,rbf,2,0.973360244051118,0.3795064939610268,False,0.0014532284164151,0
