Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,penalty,loss,C,tol,max_iter,random_state
analcatdata_creditscore_461,4,1.0,0.0009474754333496,0.0001139640808105,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,hinge,0.6983624899355849,0.0006213028580545,591,0
analcatdata_creditscore_461,4,1.0,0.0009999275207519,0.0001072883605957,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l1,squared_hinge,1.9244865265513484,0.0001792141640655,341,0
analcatdata_creditscore_461,0,1.0,0.0018784999847412,0.0008046627044677,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,squared_hinge,0.221381710107342,0.0004514515527196,1694,0
analcatdata_creditscore_461,1,1.0,0.0016791820526123,0.000770092010498,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,squared_hinge,0.1100341108522642,0.0001035426755204,1083,0
analcatdata_creditscore_461,3,1.0,0.0008752346038818,0.0001053810119628,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l1,squared_hinge,0.8972727683994491,2.7059985395518576e-05,695,0
analcatdata_creditscore_461,3,1.0,0.001638650894165,0.0007932186126708,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,hinge,0.2062512814170522,0.0002804782424201,357,0
analcatdata_creditscore_461,4,1.0,0.0016658306121826,0.0008037090301513,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,l2,hinge,0.2055398140736564,0.0002533368022975,1434,0
analcatdata_creditscore_461,4,1.0,0.0008201599121093,0.000101089477539,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,l1,squared_hinge,2.269082465772428,1.0340475295735557e-05,717,0
analcatdata_creditscore_461,3,1.0,0.0009186267852783,0.0001032352447509,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,l1,squared_hinge,0.3292621786767633,9.098773471616772e-05,716,0
analcatdata_creditscore_461,3,1.0,0.0011525154113769,0.0001101493835449,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l2,squared_hinge,4.786052315321103,0.0007472815196113,785,0
analcatdata_creditscore_461,3,1.0,0.0009362697601318,0.0001068115234375,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,l1,hinge,1.070237015453455,0.0009304995989345,1041,0
analcatdata_creditscore_461,4,1.0,0.0009553432464599,0.0001087188720703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,l2,hinge,1.6449831830437656,8.200534008463729e-05,1192,0
analcatdata_creditscore_461,1,1.0,0.0009467601776123,0.0001399517059326,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l2,squared_hinge,0.4383404801799803,0.0002777003261514,910,0
analcatdata_creditscore_461,0,1.0,0.0008959770202636,0.0001068115234375,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,l2,hinge,0.2803043580819269,1.0846453397394342e-05,685,0
