Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
analcatdata_creditscore_461,1,1.0,0.1032831668853759,0.005101203918457,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,138,log_loss,15.0,2,1,log2,False,0
analcatdata_creditscore_461,4,1.0,0.0928735733032226,0.0038075447082519,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,gini,18.0,3,2,log2,False,0
analcatdata_creditscore_461,3,1.0,0.1024837493896484,0.0051965713500976,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,gini,17.0,4,3,,False,0
analcatdata_creditscore_461,4,1.0,0.1053285598754882,0.0057296752929687,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,160,entropy,2.0,2,1,sqrt,False,0
analcatdata_creditscore_461,0,1.0,0.1095709800720214,0.0044975280761718,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,63,entropy,12.0,2,1,,False,0
analcatdata_creditscore_461,1,1.0,0.1046621799468994,0.0041913986206054,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,89,entropy,36.0,2,1,log2,True,0
analcatdata_creditscore_461,3,1.0,0.0929279327392578,0.0039319992065429,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,log_loss,4.0,5,2,log2,True,0
analcatdata_creditscore_461,3,1.0,0.1038296222686767,0.0041999816894531,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,101,gini,4.0,4,1,sqrt,True,0
analcatdata_creditscore_461,4,1.0,0.1068296432495117,0.0042052268981933,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,107,gini,10.0,2,1,,True,0
analcatdata_creditscore_461,1,1.0,0.0925323963165283,0.0038723945617675,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71,entropy,34.0,2,1,sqrt,True,0
