Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,learning_rate,max_iter,max_depth,min_samples_leaf,l2_regularization,max_bins,random_state
sa-heart_1498,2,0.7934782608695652,0.154902696609497,0.0017387866973876,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1168828418750013,27,1.0,43,0.0234672856976917,231,0
sa-heart_1498,2,0.7934782608695652,0.1555466651916504,0.0021736621856689,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1258698025392466,146,15.0,18,0.2763803252466722,201,0
sa-heart_1498,2,0.7934782608695652,0.213113784790039,0.0020246505737304,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0785957831879674,76,9.0,11,0.081346008278836,255,0
sa-heart_1498,2,0.7934782608695652,0.142033576965332,0.0019314289093017,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0616705382642273,60,,32,0.0178988005841146,189,0
sa-heart_1498,2,0.7934782608695652,0.2045626640319824,0.0020051002502441,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0113447130562604,127,,6,0.1332098290326778,227,0
sa-heart_1498,2,0.7934782608695652,0.1821293830871582,0.0018312931060791,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1751725783437327,77,,23,0.0350805439378413,255,0
sa-heart_1498,2,0.7934782608695652,0.1938569545745849,0.0023467540740966,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3415487285002576,180,,23,0.0249048176487546,255,0
sa-heart_1498,2,0.7934782608695652,0.1927909851074218,0.002002477645874,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3805008981272132,30,9.0,19,0.0188833034155711,250,0
sa-heart_1498,2,0.7934782608695652,0.1908304691314697,0.0017151832580566,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1775302152693468,128,19.0,20,0.0029846317027174,228,0
sa-heart_1498,1,0.7849462365591398,0.1723694801330566,0.0018036365509033,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0481453667464494,86,11.0,3,0.1446698564449525,242,0
