Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
autoUniv-au6-1000_1555,3,0.335,0.0288128852844238,0.0060548782348632,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.335,0.02801513671875,0.0057029724121093,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.335,0.0276386737823486,0.0059072971343994,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.335,0.0277910232543945,0.00579833984375,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.335,0.027738332748413,0.0059165954589843,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.335,0.0290455818176269,0.0060367584228515,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.335,0.0281112194061279,0.0058188438415527,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-1000_1555,3,0.335,0.0287656784057617,0.0059311389923095,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.325,0.2802755832672119,0.0832295417785644,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.325,0.2842023372650146,0.1018762588500976,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-1000_1555,3,0.32,0.2797334194183349,0.0781934261322021,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.32,0.0289461612701416,0.0061686038970947,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.32,0.0594241619110107,0.0097389221191406,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.32,0.0842745304107666,0.0116848945617675,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.32,0.085435152053833,0.0119938850402832,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.32,0.0537946224212646,0.0078635215759277,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
autoUniv-au6-1000_1555,3,0.32,0.0526187419891357,0.0106127262115478,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-1000_1555,3,0.32,0.2763793468475342,0.0854513645172119,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,0,1.0,0.0010130405426025,0.0001535415649414,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,1,1.0,0.0010936260223388,0.0001883506774902,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,4,1.0,0.0010783672332763,0.0001564025878906,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,4,1.0,0.0009372234344482,0.0001349449157714,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,1,1.0,0.0018622875213623,0.0008354187011718,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
analcatdata_creditscore_461,3,1.0,0.0008792877197265,0.0001349449157714,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,1,1.0,0.0009665489196777,0.0001578330993652,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
analcatdata_creditscore_461,3,1.0,0.0010950565338134,0.0001554489135742,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,4,1.0,0.000840425491333,0.0001330375671386,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
analcatdata_creditscore_461,0,1.0,0.0013833045959472,0.000223159790039,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
analcatdata_creditscore_461,1,1.0,0.0009562969207763,0.0001351833343505,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,4,1.0,0.0008289813995361,0.0001637935638427,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,3,1.0,0.001000165939331,0.0001366138458251,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,4,1.0,0.0009341239929199,0.0001361370086669,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,0,1.0,0.0008332729339599,0.0001351833343505,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,1,1.0,0.0008351802825927,0.0001323223114013,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,0,1.0,0.0026240348815917,0.0002374649047851,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,3,1.0,0.0013740062713623,0.0002305507659912,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,4,1.0,0.0013480186462402,0.0002274513244628,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_creditscore_461,3,1.0,0.0014245510101318,0.0002367496490478,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
sa-heart_1498,2,0.8260869565217391,0.0095002651214599,0.0032875537872314,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
sa-heart_1498,2,0.8260869565217391,0.0055015087127685,0.0014543533325195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
sa-heart_1498,2,0.8260869565217391,0.0057494640350341,0.0012784004211425,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0073440074920654,0.0016145706176757,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0057024955749511,0.0015180110931396,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0057182312011718,0.0011992454528808,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0055105686187744,0.0014641284942626,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
sa-heart_1498,2,0.8260869565217391,0.0039310455322265,0.001009464263916,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.00657320022583,0.0015788078308105,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0054399967193603,0.001474380493164,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
sa-heart_1498,2,0.8260869565217391,0.0103931427001953,0.0035583972930908,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
sa-heart_1498,2,0.8260869565217391,0.0057423114776611,0.0011591911315917,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0040028095245361,0.0009686946868896,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0059661865234375,0.0011999607086181,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0055274963378906,0.0014815330505371,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
sa-heart_1498,2,0.8260869565217391,0.0063273906707763,0.0015385150909423,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0055024623870849,0.0014538764953613,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0056424140930175,0.0014789104461669,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0039055347442626,0.0010168552398681,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.8260869565217391,0.0041356086730957,0.0010130405426025,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
autoUniv-au6-400_1551,3,0.45,0.0063400268554687,0.001004934310913,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.45,0.0087182521820068,0.0012948513031005,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.45,0.0066397190093994,0.0010461807250976,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.45,0.0065138339996337,0.0010607242584228,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.425,0.006728172302246,0.0010826587677001,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.425,0.0065765380859375,0.001204490661621,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.425,0.0065000057220458,0.001086950302124,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.425,0.0063896179199218,0.0011000633239746,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.4,0.0068633556365966,0.0011065006256103,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-400_1551,3,0.4,0.0068776607513427,0.0011613368988037,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.4,0.0067808628082275,0.0010499954223632,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.4,0.0068216323852539,0.0010993480682373,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.4,0.0067806243896484,0.0010764598846435,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.4,0.0067770481109619,0.0010764598846435,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
autoUniv-au6-400_1551,3,0.4,0.0067372322082519,0.0011351108551025,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.4,0.0067105293273925,0.0010433197021484,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.4,0.0068440437316894,0.0010254383087158,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.4,0.0067534446716308,0.0010352134704589,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-400_1551,3,0.4,0.0068447589874267,0.0010530948638916,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
autoUniv-au6-400_1551,3,0.4,0.0067548751831054,0.0011308193206787,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
