Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
sa-heart_1498,2,0.782608695652174,0.0007381439208984,0.0001578330993652,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.782608695652174,0.0007462501525878,0.0001840591430664,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
sa-heart_1498,2,0.782608695652174,0.0007495880126953,0.000159740447998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
sa-heart_1498,2,0.782608695652174,0.0009808540344238,0.0004515647888183,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sa-heart_1498,2,0.782608695652174,0.0007307529449462,0.0001583099365234,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
sa-heart_1498,2,0.782608695652174,0.000720739364624,0.0001623630523681,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.782608695652174,0.0007598400115966,0.0001614093780517,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
sa-heart_1498,2,0.782608695652174,0.0007674694061279,0.0001568794250488,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sa-heart_1498,2,0.782608695652174,0.0008563995361328,0.0001697540283203,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sa-heart_1498,2,0.782608695652174,0.0007867813110351,0.000173807144165,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sa-heart_1498,0,0.7741935483870968,0.0034828186035156,0.0003244876861572,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
sa-heart_1498,0,0.7741935483870968,0.0036036968231201,0.0003290176391601,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0012063980102539,0.0002586841583251,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0012178421020507,0.0002799034118652,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0012540817260742,0.0002977848052978,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0011882781982421,0.0002706050872802,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.3875,0.0011603832244873,0.0002617835998535,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.3875,0.0013794898986816,0.0002634525299072,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,2,0.3875,0.0018272399902343,0.0003530979156494,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.3875,0.0011978149414062,0.0002617835998535,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0011534690856933,0.0002741813659667,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.3875,0.0014786720275878,0.000303030014038,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0012233257293701,0.0002598762512207,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0012683868408203,0.0002608299255371,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
autoUniv-au6-400_1551,2,0.3875,0.0013861656188964,0.0002939701080322,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
autoUniv-au6-400_1551,3,0.3875,0.0013463497161865,0.0002808570861816,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0011546611785888,0.0005476474761962,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
autoUniv-au6-400_1551,3,0.3875,0.00124192237854,0.0002582073211669,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0013327598571777,0.0003271102905273,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
autoUniv-au6-400_1551,3,0.3875,0.0011665821075439,0.0002574920654296,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
autoUniv-au6-400_1551,3,0.3875,0.0012357234954833,0.0002703666687011,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
autoUniv-au6-400_1551,3,0.3875,0.0015983581542968,0.0003623962402343,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
analcatdata_marketing_986,4,0.7083333333333334,0.0470397472381591,0.0010054111480712,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
analcatdata_marketing_986,4,0.7083333333333334,0.0349347591400146,0.0010898113250732,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
analcatdata_marketing_986,4,0.7083333333333334,0.0324790477752685,0.0010898113250732,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0016894340515136,0.0002112388610839,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
analcatdata_marketing_986,0,0.684931506849315,0.0016767978668212,0.0002863407135009,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.0016698837280273,0.0002145767211914,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.001570701599121,0.0001938343048095,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.0014278888702392,0.0001895427703857,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
analcatdata_marketing_986,0,0.684931506849315,0.00175142288208,0.0002355575561523,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
analcatdata_marketing_986,0,0.684931506849315,0.0018069744110107,0.0002350807189941,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
