Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_select_percentile,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard
analcatdata_marketing_986,0,0.6438356164383562,0.0012018680572509,8.988380432128906e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0013062953948974,8.940696716308594e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0014264583587646,9.1552734375e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.001260757446289,0.0001258850097656,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0011932849884033,9.226799011230467e-05,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0013222694396972,9.202957153320312e-05,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0013477802276611,8.988380432128906e-05,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0011868476867675,8.58306884765625e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0014925003051757,0.0001435279846191,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0018641948699951,0.0001225471496582,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
analcatdata_marketing_986,0,0.6438356164383562,0.0012333393096923,8.988380432128906e-05,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
badges2_1121,4,1.0,0.0012924671173095,0.0001003742218017,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
badges2_1121,0,1.0,0.0015978813171386,0.0001626014709472,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
badges2_1121,0,1.0,0.0013437271118164,0.0001275539398193,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
badges2_1121,3,1.0,0.0012569427490234,0.0001025199890136,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
badges2_1121,0,1.0,0.0013413429260253,0.0001025199890136,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
badges2_1121,3,1.0,0.0013520717620849,0.000124454498291,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
badges2_1121,4,1.0,0.0015196800231933,0.0001342296600341,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
badges2_1121,3,1.0,0.0014500617980957,0.0001335144042968,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
badges2_1121,2,1.0,0.0013730525970458,0.0001440048217773,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
badges2_1121,3,1.0,0.0014758110046386,0.0001473426818847,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
badges2_1121,4,1.0,0.001429796218872,0.0001254081726074,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
badges2_1121,0,1.0,0.0014476776123046,0.0001289844512939,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
badges2_1121,0,1.0,0.0014407634735107,0.0001256465911865,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
